Beat Saber Playtime,1,2,3,4,5,6,7,8,9,10,11,12
"Have you ever played the game “Beat Saber” using a VR device? If so, approximately how many hours have you spent playing Beat Saber?","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D","The following URLs display Beat Saber recordings from four different users playing the same in-game level. One of the four recordings may be ""fake"" (artificially created or digitally modified), or all four recordings may be ""real"" (legitimate unmodified human motion data). Which, if any, of the four recordings appear to be ""fake""?



Recording A

Recording B

Recording C

Recording D"
"{""ImportId"":""QID23""}","{""ImportId"":""QID2""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID40""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}"
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for less than 10 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified
"No, I have never played Beat Saber.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording C is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",All four recordings contain unmodified human motion data,Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording C is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording B is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified
